평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2060841006,안산단원어린이도서관,경기,안산시,123297,2.5,5297,87636,49133
2024,LIBTYPE000002,2060124010,어린이생태학습도서관,광주,서구,63140,2,4689,175474,72138
2024,LIBTYPE000002,2060811031,용두어린이영어도서관,서울,동대문구,28421,5,1949,35811,16000
2024,LIBTYPE000002,2060831001,울산북구기적의도서관,울산,북구,51483,1,2337,44094,27000
2024,LIBTYPE000002,2060822005,서구 어린이영어도서관,대구,서구,15492,1,917,1653,190000
2024,LIBTYPE000002,2060822004,수성구립 물망이도서관,대구,수성구,34353,1,24795,83385,25422
2024,LIBTYPE000002,2060811013,글마루한옥어린이도서관,서울,구로구,27772,3,1435,26763,28074
2024,LIBTYPE000002,2060811008,남가좌새롬어린이도서관,서울,서대문구,47509,3,2115,17284,48181
2024,LIBTYPE000002,2060811024,마포푸르메어린이도서관,서울,마포구,22516,2,5756,96413,19165
2024,LIBTYPE000002,2060841022,성남시중원어린이도서관,경기,성남시,111472,1.5,14153,110832,62108
2024,LIBTYPE000002,2060841024,성남시판교어린이도서관,경기,성남시,139211,3,27693,394802,84025
2024,LIBTYPE000002,2060849003,제주꿈바당어린이도서관,제주,제주시,43532,0,4735,17285,29998
2024,LIBTYPE000002,2060848001,진주시어린이전문도서관,경남,진주시,82843,5,6154,160166,56868
2024,LIBTYPE000002,2060843003,청주신율봉어린이도서관,충북,청주시,74912,2,14860,91471,29871
2024,LIBTYPE000002,2060841018,평택시립지산초록도서관,경기,평택시,154834,3,6113,89905,65000
2024,LIBTYPE000002,2060841010,고양시립주엽어린이도서관,경기,고양시,117069,2,15294,269586,83342
2024,LIBTYPE000002,2060841012,고양시립행신어린이도서관,경기,고양시,98944,2,14235,225371,66500
2024,LIBTYPE000002,2060841011,고양시립화정어린이도서관,경기,고양시,97432,3,15320,227479,66337
2024,LIBTYPE000002,2060845003,남원시어린이청소년도서관,전북,남원시,35061,1,2219,20842,11000
2024,LIBTYPE000002,2060841005,안산시립상록어린이도서관,경기,안산시,124157,3.5,5022,58026,45050
2024,LIBTYPE000002,2060841027,안양시립큰샘어린이도서관,경기,안양시,16301,4,5141,21035,200800
2024,LIBTYPE000002,2060841020,오산시립 햇살마루 도서관,경기,오산시,48152,1,3501,40126,34653
2024,LIBTYPE000002,2060821003,부산진구어린이청소년도서관,부산,부산진구,38624,2,1938,16812,30000
2024,LIBTYPE000002,2050823001,인천광역시교육청평생학습관,인천,연수구,51458,4,3049,66802,51824
2024,LIBTYPE000002,2050811001,서울특별시교육청어린이도서관,서울,종로구,271296,20,8193,481301,214289
2024,LIBTYPE000002,2060844002,아산시꿈샘어린이청소년도서관,충남,아산시,103990,6,8644,173014,59120
2024,LIBTYPE000002,2060841026,화성시립달빛나래어린이도서관,경기,화성시,24289,2,6767,186503,54206
2024,LIBTYPE000002,2060841015,화성시립두빛나래어린이도서관,경기,화성시,72335,3,741,193060,44629
2024,LIBTYPE000002,2060841021,화성시립둥지나래어린이도서관,경기,화성시,79310,3,7934,111234,31918
